id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,categories,publisher_vn,book_cover,number_of_page,manufacturer
204078067,Hôm Nay Cậu Ấy Cũng Thật Dễ Thương (Tập 1),107000,129000,22000,17,4.8,189,"Hôm Nay Cậu Ấy Cũng Thật Dễ Thương (Tập 1) Câu chuyện xoay quanh mối nhân duyên bất ngờ giữa Thương Thư và Tề Lân. Thương Thư - một học bá lạnh lùng, có niềm đam mê với học hành. Hay nói cách khác, c...",708,['Quách Tư Đặc'],"Truyện Tranh, Manga, Comic",Ichi Books,Bìa mềm,200,Nhà Xuất Bản Dân Trí
253642369,"Cuộc Sống Học Đường, Tập 4",58600,69000,10400,15,5.0,6,"Cuộc sống học đường tập 4Trong lúc đi thăm dò khu vực trú ẩn ở tầng hầm trường học được nhắc đến trong cuốn hướng dẫn sơ tán khẩn cấp, Kurumi bất ngờ gặp lại cô giáo Sakura và bị cô ấy tấn công. Trướ...",64,"['Sadoru Chiba', 'Norimitsu Kaihou (NITROPLUS)']","Truyện Tranh, Manga, Comic",Mori Manga,Bìa mềm,178,Nhà Xuất Bản Dân Trí
211936520,Links,48900,78000,29100,37,5.0,39,Mời các bạn thưởng thức tuyển tập truyện ngắn đầy rung động về những mối tình trắc trở của những con người được kết nối với nhau bởi số phận.Sekiya x ShibataMC radio lầm lì ít nói Sekiya bị một ông ...,229,['Natsuki Kizu'],"Truyện Tranh, Manga, Comic",IPM,Bìa mềm,242,Nhà Xuất Bản Hà Nội
252978422,Shaman King 31,35000,35000,0,0,5.0,2,"Asakura Yo vốn là con nhà nòi, sinh ra trong một gia đình hành nghề shaman - pháp sư. Như bất kỳ shaman nào khác, mục tiêu cuối cùng của cậu chính là ngôi vị Shaman king, người duy nhất có mối liên kế...",58,['Hiroyuki Takei'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,200,NXB Trẻ
218752563,Alice in borderland Tập 1 2 3 4 5 6 7 8 9 10 11 - Nguyên seal full quà,37620,38000,380,1,0.0,0,"Arisu Ryohei tự nhận mình là một thành phần “ăn hại xã hội”, học hành lẹt đẹt nên đang cực kỳ chán đời. Trong một lần tụ tập than vãn cùng hai thằng bạn thân Karube và Chota, cả ba bất chợt nhìn thấy ...",97,['Haro Aso'],Sách tiếng Việt,HCM,Bìa mềm,168,NXB Trẻ
242086787,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 12 [Tái Bản 2023],16100,22000,5900,27,5.0,1,"Những câu chuyện về chú mèo máy thông minh Doraemon và nhóm bạn Nobita, Shizuka, Suneo, Jaian, Dekisugi sẽ đưa chúng ta bước vào thế giới hồn nhiên, trong sáng đầy ắp tiếng cười với một kho bảo bối kì...",15,['Fujiko F Fujio'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
174215347,Ajin - Boxset Số 3 (Tập 13 - 17) - Tặng Kèm Bookmark 3D,175000,270000,95000,35,4.8,179,"AJIN kể về một câu chuyện ly kỳ, hấp dẫn: 17 năm trước, lần đầu tiên một giống loài bất tử được phát hiện trên chiến trường ở châu Phi. Từ đó, người ta biết đến sự tồn tại của một chủng sinh vật bất t...",1081,['Sakurai Gamon'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,,NXB Trẻ
243034098,Blue Lock Tập 1 2 3 4 5 6 7 8 9 - Mới 100% full quà,39000,39000,0,0,5.0,6,"MANG TRONG MÌNH ƯỚC MƠ TRỞ THÀNH SỐ 1 THẾ GIỚI, 300 TIỀN ĐẠO – 300 CÁI TÔI ĐÃ TẬP HỢP LẠI!!Tại World Cup 2018, Nhật Bản phải dừng bước ở vòng 16 đội… Đáp lại điều này, Liên đoàn Bóng đá Nhật Bản đã t...",146,['Yusuke Nomura'],"Truyện Tranh, Manga, Comic", NXB Kim Đồng,Bìa mềm,208,Nhà Xuất Bản Kim Đồng
252868475,Kaguya-Sama: Cuộc Chiến Tỏ Tình Tập 16 [Tặng Kèm Ivory Card],39900,40000,100,0,5.0,3,"Hội trưởng Shirohgane Miyuki và hội phó Shinomiya Kaguya gặp nhau tại Hội Học Sinh của học viện Shuchiin, nơi hội tụ của những con người thuộc tầng lớp thượng lưu…Đây là câu chuyện tình cảm hài hước ...",125,['Aka Akasaka'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,204,Nhà Xuất Bản Kim Đồng
13116553,Thị Trấn Mèo Tập 1 (Tái Bản 2019),61200,68000,6800,10,4.8,39,"Ở một làng chài nằm rìa Tokyo, luôn có hàng dài những chú mèo chiếm lĩnh mọi ngóc ngách của bến cảng, xếp hàng chờ ăn những con cá tươi ngon, béo ngậy vừa đánh bắt ngoài biển khơi về. Dần dần, chả biế...",144,['Nekomaki (ms-work)'],Sách tiếng Việt,Wings Books,Bìa mềm,176,
